,CPU Name,Year Released,Single Core Performance,Multi Core Performance,Clock Speed,Number of Cores,Number of Threads,Rolling Single Core Score,Rolling Multi Core Score,Rolling Average Clock Speed,Rolling Average Number of Cores,Rolling Average Number of Threads,Rolling Year,Rolling STD Single Core Score,Rolling STD Multi Core Score,Rolling STD Clock Speed,Rolling STD Number of Cores,Rolling STD Number of Threads,Rolling STD Year
0,AMD-Ryzen-Threadripper-2970WX,2003.0,72.0,122.0,1660.0,1.0,2.0,,,,,,,,,,,,
1,Intel-Core-i9-12900KF,2003.0,74.0,204.0,1600.0,2.0,4.0,,,,,,,,,,,,
2,Intel-Core-i7-12700K,2003.0,76.0,206.0,1500.0,2.0,4.0,,,,,,,,,,,,
3,Intel-Core-i7-12700KF,2003.0,77.0,113.0,1660.0,1.0,2.0,,,,,,,,,,,,
4,Intel-Core-i5-12600K,2003.0,84.0,219.0,1660.0,2.0,4.0,76.6,172.8,1616.0,1.6,3.2,2003.0,4.560701700396553,50.908741881920434,69.85699678629193,0.5477225575051661,1.0954451150103321,0.0
5,Intel-Core-i7-12700,2003.0,88.0,163.0,1000.0,2.0,2.0,79.8,181.0,1484.0,1.8,3.2,2003.0,5.932958789676532,43.433857760967996,278.3522947633089,0.44721359549995787,1.0954451150103321,0.0
6,Intel-Core-i9-11900K,2003.0,94.0,257.0,1800.0,2.0,4.0,83.8,191.6,1524.0,1.8,3.2,2003.0,7.563068160475617,55.29737787635142,311.57663583779834,0.44721359549995787,1.0954451150103321,0.0
7,Intel-Core-i9-11900KF,2003.0,95.0,162.0,1000.0,2.0,2.0,87.6,182.8,1424.0,1.8,2.8,2003.0,7.436396977031286,55.93031378420829,391.25439294658406,0.44721359549995787,1.0954451150103321,0.0
8,Intel-Core-i9-11900F,2003.0,99.0,173.0,1300.0,2.0,2.0,92.0,194.8,1352.0,2.0,2.8,2003.0,5.9581876439064985,41.88317084462445,369.4861296449435,0.0,1.0954451150103321,0.0
9,Intel-Core-i7-11700K,2003.0,100.0,287.0,1860.0,2.0,4.0,95.2,208.4,1392.0,2.0,2.8,2003.0,4.764451699828645,59.176008652155645,418.71231173682963,0.0,1.0954451150103321,0.0
