,Rolling singlescore Average,Rolling singlescore Standard Deviation,Rolling multiscore Average,Rolling multiscore Standard Deviation,Rolling clkspd Average,Rolling clkspd Standard Deviation,Rolling numcores Average,Rolling numcores Standard Deviation,Rolling numthreads Average,Rolling numthreads Standard Deviation,Rolling year Average,Rolling year Standard Deviation
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,-4.490698490588604,,-5.309618318354793,-1.68409944120312,-4.321237857769316,,-3.8965871735946025,-3.2771447329921766,-3.896587173594603,,
5,-6.338704496135167,-4.227651942640214,-7.39851755854142,-5.490046014219486,-1.979563654096956,-1.625152096897431,-4.624972813284272,-4.099319727648685,-3.2771447329921766,-3.896587173594603,,
6,-5.527774279918838,-3.984898034749363,-6.5687948429757235,-5.2171070924841025,-1.880472751452725,-1.4866069351460223,-4.624972813284272,-4.099319727648685,-3.2771447329921766,-3.896587173594603,,
7,-5.103960033142478,-4.0017885296780955,-7.20006661981758,-5.204444044227954,-2.1494626908923533,-1.2163764996679738,-4.624972813284272,-4.099319727648685,-3.564826805443958,-3.896587173594603,,
8,-4.767487796521264,-4.223408635701554,-6.41160925945331,-5.531930631254805,-2.4007771191732594,-1.2832576740363706,-3.931825632724326,,-3.564826805443958,-3.896587173594603,,
9,-4.578693725221692,-4.446992521698561,-5.930306074953641,-5.141913768666034,-2.253452404416401,-1.1379323905120238,-3.931825632724326,,-3.564826805443958,-3.896587173594603,,
10,-4.438464383913042,-4.787001466257635,-5.798883646203939,-5.216834084489545,-2.253452404416401,-1.1379323905120238,-3.931825632724326,,-3.564826805443958,-3.896587173594603,,
11,-4.332169725263419,-4.61259243003588,-7.051646614699307,-5.054676386198869,-2.483468835018373,-1.3025163430998592,-4.624972813284272,-4.099319727648685,-4.257973986003902,-3.896587173594603,,
12,-4.236095895173797,-4.737373987209965,-6.601230118728877,-5.075359726662529,-2.483468835018373,-1.3025163430998592,-4.624972813284272,-4.099319727648685,-4.257973986003902,-3.896587173594603,,
13,-4.169650795765644,-4.774125218206428,-6.4299583981215065,-5.08876092208388,-2.7827117298712296,-1.2094333132714803,-4.624972813284272,-4.099319727648685,-4.257973986003902,-3.896587173594603,,
14,-4.087412697528672,-4.725700305211469,-8.473032295630475,-5.720418891137141,,-1.9060023693053394,-4.624972813284272,-4.099319727648685,-5.356586274672012,-4.79246690820863,,
15,-4.017543017568186,-4.8721120411875685,-6.142276325669727,-4.899371134209748,-2.509671207412397,-0.9388571938977059,-4.624972813284272,-4.099319727648685,-4.257973986003902,-3.896587173594603,,
16,-3.952237919160419,-4.61259243003588,-5.619028181905178,-5.231034501660293,-2.5275288248124035,-0.9426167631746486,-3.931825632724326,,-3.970291913552122,-4.099319727648685,,
